,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
3,12 Clock Point,61698,4,"Other Post, Other Pole or Other Supports",1,9999
4,Non-Collision,61698,5,Rollover/Overturn,1,9999
5,Not Reported,61698,6,Fence,1,9999
6,Non-Collision,61698,7,Immersion or Partial Immersion,1,9999
0,Non-Harmful Event,61699,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61699,2,Parked Motor Vehicle ,1,2
2,Non-Collision,61699,3,Fire/Explosion,1,9999
0,Non-Harmful Event,61700,1,Ran Off Roadway - Right,1,5555
1,Right,61700,2,Tree (Standing Only),1,9999
2,12 Clock Point,61700,3,Tree (Standing Only),1,9999
3,Non-Harmful Event,61700,4,Vehicle Went Airborne,1,5555
4,12 Clock Point,61700,5,Other Fixed Object,1,9999
5,Non-Collision,61700,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,61701,1,Cross Centerline,1,5555
1,Right,61701,2,Parked Motor Vehicle ,1,2
2,Set-In-Motion (Not a Clock Value),61701,3,Parked Motor Vehicle ,1,3
0,12 Clock Point,61702,1,Pedestrian,1,9999
0,12 Clock Point,61702,1,Pedestrian,1,9999
0,5 Clock Point,61704,1,Pedestrian,1,9999
0,Non-Harmful Event,61708,1,Ran Off Roadway - Left,1,5555
1,Not Reported,61708,2,Impact Attenuator/Crash Cushion,1,9999
2,Non-Harmful Event,61708,3,Re-entering Roadway,1,5555
3,Non-Collision,61708,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,61709,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61709,2,Impact Attenuator/Crash Cushion,1,9999
2,12 Clock Point,61709,3,Concrete Traffic Barrier,1,9999
0,12 Clock Point,61710,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61710,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61712,1,Cross Centerline,1,5555
1,12 Clock Point,61712,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,61712,3,Fell/Jumped from Vehicle,2,9999
3,Non-Harmful Event,61712,4,Ran Off Roadway - Left,1,5555
4,Not Reported,61712,5,Tree (Standing Only),1,9999
5,Not Reported,61712,6,Fence,1,9999
6,Non-Harmful Event,61712,7,Ran Off Roadway - Right,2,5555
7,Non-Collision,61712,8,Rollover/Overturn,2,9999
8,Not Reported,61712,9,Fence,2,9999
0,Non-Harmful Event,61712,1,Cross Centerline,1,5555
1,12 Clock Point,61712,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,61712,3,Fell/Jumped from Vehicle,2,9999
3,Non-Harmful Event,61712,4,Ran Off Roadway - Left,1,5555
4,Not Reported,61712,5,Tree (Standing Only),1,9999
5,Not Reported,61712,6,Fence,1,9999
6,Non-Harmful Event,61712,7,Ran Off Roadway - Right,2,5555
7,Non-Collision,61712,8,Rollover/Overturn,2,9999
8,Not Reported,61712,9,Fence,2,9999
0,Non-Harmful Event,61712,1,Cross Centerline,1,5555
1,12 Clock Point,61712,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,61712,3,Fell/Jumped from Vehicle,2,9999
3,Non-Harmful Event,61712,4,Ran Off Roadway - Left,1,5555
4,Not Reported,61712,5,Tree (Standing Only),1,9999
5,Not Reported,61712,6,Fence,1,9999
6,Non-Harmful Event,61712,7,Ran Off Roadway - Right,2,5555
7,Non-Collision,61712,8,Rollover/Overturn,2,9999
8,Not Reported,61712,9,Fence,2,9999
0,Non-Collision,61713,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61713,2,Ran Off Roadway - Right,1,5555
2,Other Objects Set-In-Motion,61713,3,Guardrail Face,1,9999
0,Non-Harmful Event,61714,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61714,2,Other Fixed Object,1,9999
2,12 Clock Point,61714,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61714,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61714,2,Other Fixed Object,1,9999
2,12 Clock Point,61714,3,Tree (Standing Only),1,9999
0,Undercarriage,61715,1,Pedestrian,1,9999
0,12 Clock Point,61717,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,61717,2,Cross Centerline,1,5555
2,Not Reported,61717,3,Parked Motor Vehicle ,1,3
0,Non-Collision,61720,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61720,2,"Equipment Failure (blown tire, brake failure, etc)",1,5555
0,Non-Harmful Event,61726,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61726,2,Curb,1,9999
2,Non-Collision,61726,3,Rollover/Overturn,1,9999
0,12 Clock Point,61728,1,Pedestrian,1,9999
0,12 Clock Point,61733,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61735,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61735,2,Motor Vehicle In-Transport ,1,3
2,12 Clock Point,61735,3,Motor Vehicle In-Transport ,1,4
0,12 Clock Point,61735,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61735,2,Motor Vehicle In-Transport ,1,3
2,12 Clock Point,61735,3,Motor Vehicle In-Transport ,1,4
0,12 Clock Point,61735,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61735,2,Motor Vehicle In-Transport ,1,3
2,12 Clock Point,61735,3,Motor Vehicle In-Transport ,1,4
0,12 Clock Point,61736,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61737,1,Cross Centerline,1,5555
1,Non-Harmful Event,61737,2,Ran Off Roadway - Left,1,5555
2,Undercarriage,61737,3,Curb,1,9999
3,Undercarriage,61737,4,Curb,1,9999
4,Right,61737,5,Utility Pole/Light Support,1,9999
5,Other Objects Set-In-Motion,61737,6,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
6,Other Objects Set-In-Motion,61737,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,61738,1,Pedestrian,1,9999
0,12 Clock Point,61739,1,Pedalcyclist,1,9999
1,Non-Harmful Event,61739,2,Cross Centerline,1,5555
2,Not Reported,61739,3,Curb,1,9999
3,Not Reported,61739,4,Wall,1,9999
4,Non-Collision,61739,5,Rollover/Overturn,1,9999
0,12 Clock Point,61741,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61745,1,Cross Centerline,1,5555
1,12 Clock Point,61745,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,61745,3,Ran Off Roadway - Right,2,5555
3,Not Reported,61745,4,Embankment,2,9999
0,Non-Harmful Event,61748,1,Cross Centerline,1,5555
1,12 Clock Point,61748,2,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61750,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,61750,2,Rollover/Overturn,1,9999
2,12 Clock Point,61750,3,Motor Vehicle In-Transport ,2,3
0,12 Clock Point,61756,1,Pedestrian,1,9999
0,12 Clock Point,61757,1,Parked Motor Vehicle ,1,2
0,12 Clock Point,61759,1,Pedestrian,1,9999
1,Non-Harmful Event,61759,2,Ran Off Roadway - Right,1,5555
2,Undercarriage,61759,3,Curb,1,9999
0,Non-Harmful Event,61761,1,End Departure,1,9999
1,12 Clock Point,61761,2,Wall,1,9999
0,Left,61767,1,Motor Vehicle In-Transport ,1,2
0,Left,61767,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61769,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61769,2,Parked Motor Vehicle ,1,2
2,Other Objects Set-In-Motion,61769,3,Concrete Traffic Barrier,1,9999
3,Other Objects Set-In-Motion,61769,4,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,61771,1,Cross Centerline,1,5555
1,11 Clock Point,61771,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,61771,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,61776,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61776,2,Ran Off Roadway - Left,1,5555
2,Other Objects Set-In-Motion,61776,3,Concrete Traffic Barrier,1,9999
3,Not Reported,61776,4,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,61782,1,Cross Centerline,1,5555
1,Non-Harmful Event,61782,2,Ran Off Roadway - Left,1,5555
2,3 Clock Point,61782,3,Tree (Standing Only),1,9999
0,Non-Collision,61784,1,Rollover/Overturn,1,9999
0,Non-Collision,61784,1,Rollover/Overturn,1,9999
0,12 Clock Point,61785,1,Pedestrian,1,9999
0,12 Clock Point,61786,1,Non-Motorist on Personal Conveyance,1,9999
1,12 Clock Point,61786,2,Pedestrian,1,9999
0,Right-Front Side,61787,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61787,2,Motor Vehicle In-Transport ,1,3
2,Left,61787,3,Motor Vehicle In-Transport ,1,4
0,12 Clock Point,61794,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,61794,2,Ran Off Roadway - Left,2,5555
2,6 Clock Point,61794,3,Wall,2,9999
3,Non-Harmful Event,61794,4,Ran Off Roadway - Right,1,5555
4,12 Clock Point,61794,5,Wall,1,9999
0,Non-Harmful Event,61797,1,Cross Centerline,1,5555
1,Non-Harmful Event,61797,2,Ran Off Roadway - Left,1,5555
2,Not Reported,61797,3,Embankment,1,9999
3,Non-Collision,61797,4,Rollover/Overturn,1,9999
0,12 Clock Point,61798,1,Pedestrian,1,9999
0,12 Clock Point,61798,1,Pedestrian,1,9999
0,Non-Collision,61801,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,61801,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
2,Not Reported,61801,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,61802,1,Pedestrian,1,9999
0,Non-Harmful Event,61804,1,Cross Centerline,1,5555
1,Non-Harmful Event,61804,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,61804,3,Embankment,1,9999
0,Non-Harmful Event,61805,1,Ran Off Roadway - Left,1,9999
1,Undercarriage,61805,2,Curb,1,9999
2,12 Clock Point,61805,3,Fence,1,9999
0,Non-Harmful Event,61806,1,Cross Centerline,1,5555
1,12 Clock Point,61806,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61814,1,Other Object (not fixed),1,9999
1,Non-Harmful Event,61814,2,Cross Centerline,1,5555
2,Non-Harmful Event,61814,3,Cross Centerline,1,5555
3,Non-Harmful Event,61814,4,Cross Centerline,1,5555
4,12 Clock Point,61814,5,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61815,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,61815,2,Rollover/Overturn,1,9999
0,9 Clock Point,61816,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61819,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61819,2,Culvert,1,9999
2,Not Reported,61819,3,Fence,1,9999
3,Non-Collision,61819,4,Rollover/Overturn,1,9999
0,Not Reported,61820,1,Motor Vehicle In-Transport ,1,2
1,Not Reported,61820,2,Parked Motor Vehicle ,1,3
2,Other Objects Set-In-Motion,61820,3,Parked Motor Vehicle ,1,4
3,Other Objects Set-In-Motion,61820,4,Parked Motor Vehicle ,1,5
0,Not Reported,61820,1,Motor Vehicle In-Transport ,1,2
1,Not Reported,61820,2,Parked Motor Vehicle ,1,3
2,Other Objects Set-In-Motion,61820,3,Parked Motor Vehicle ,1,4
3,Other Objects Set-In-Motion,61820,4,Parked Motor Vehicle ,1,5
0,Non-Harmful Event,61821,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,61821,2,Re-entering Roadway,1,9999
2,Right-Back Half,61821,3,Motor Vehicle In-Transport ,1,2
3,Non-Harmful Event,61821,4,Ran Off Roadway - Right,1,9999
4,Non-Collision,61821,5,Rollover/Overturn,1,9999
5,Non-Collision,61821,6,Fire/Explosion,1,9999
0,Non-Harmful Event,61821,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,61821,2,Re-entering Roadway,1,9999
2,Right-Back Half,61821,3,Motor Vehicle In-Transport ,1,2
3,Non-Harmful Event,61821,4,Ran Off Roadway - Right,1,9999
4,Non-Collision,61821,5,Rollover/Overturn,1,9999
5,Non-Collision,61821,6,Fire/Explosion,1,9999
0,Non-Harmful Event,61822,1,Cross Centerline,1,9999
1,12 Clock Point,61822,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,61822,3,Ran Off Roadway - Right,2,9999
3,1 Clock Point,61822,4,Wall,2,9999
0,12 Clock Point,61831,1,Pedestrian,1,9999
0,Non-Harmful Event,61834,1,Ran Off Roadway - Left,1,5555
1,Not Reported,61834,2,Curb,1,9999
2,Not Reported,61834,3,Tree (Standing Only),1,9999
3,Not Reported,61834,4,Tree (Standing Only),1,9999
4,Non-Collision,61834,5,Fire/Explosion,1,9999
0,Non-Harmful Event,61835,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61835,2,Curb,1,9999
2,Not Reported,61835,3,Fence,1,9999
0,Non-Harmful Event,61837,1,Ran Off Roadway - Right,1,5555
1,Right,61837,2,Tree (Standing Only),1,9999
2,Non-Harmful Event,61837,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61837,4,Ran Off Roadway - Right,1,5555
4,Right,61837,5,Tree (Standing Only),1,9999
5,12 Clock Point,61837,6,Tree (Standing Only),1,9999
0,Non-Harmful Event,61837,1,Ran Off Roadway - Right,1,5555
1,Right,61837,2,Tree (Standing Only),1,9999
2,Non-Harmful Event,61837,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61837,4,Ran Off Roadway - Right,1,5555
4,Right,61837,5,Tree (Standing Only),1,9999
5,12 Clock Point,61837,6,Tree (Standing Only),1,9999
0,Non-Harmful Event,61838,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61838,2,Curb,1,9999
0,Non-Harmful Event,61841,1,Cross Centerline,1,5555
1,Right,61841,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61845,1,Pedestrian,1,9999
0,Non-Harmful Event,61847,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61847,2,Re-entering Roadway,1,5555
2,12 Clock Point,61847,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61848,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,61848,2,Re-entering Roadway,1,9999
2,12 Clock Point,61848,3,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61849,1,Pedestrian,1,9999
0,12 Clock Point,61850,1,Pedestrian,1,9999
0,12 Clock Point,61852,1,Pedestrian,1,9999
0,12 Clock Point,61854,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61857,1,Cross Centerline,1,5555
1,12 Clock Point,61857,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61858,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61858,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61860,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,61860,2,Rollover/Overturn,2,9999
2,Non-Harmful Event,61860,3,Ran Off Roadway - Left,2,5555
3,Not Reported,61860,4,Curb,2,9999
0,Non-Collision,61862,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61862,2,Cross Centerline,1,5555
2,Not Reported,61862,3,Motor Vehicle In-Transport ,1,3
3,Non-Harmful Event,61862,4,Ran Off Roadway - Left,1,5555
4,Set-In-Motion (Not a Clock Point),61862,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
5,12 Clock Point,61862,6,Motor Vehicle In-Transport ,4,1
6,Undercarriage,61862,7,Motor Vehicle In-Transport ,5,4
0,12 Clock Point,61868,1,Pedestrian,1,9999
1,Other Objects Set-In-Motion,61868,2,Traffic Sign Support ,1,9999
0,Non-Harmful Event,61870,1,Cross Centerline,1,5555
1,Non-Harmful Event,61870,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,61870,3,Fence,1,9999
3,Non-Collision,61870,4,Rollover/Overturn,1,9999
4,Non-Collision,61870,5,Immersion or Partial Immersion,1,9999
0,12 Clock Point,61871,1,Pedestrian,1,9999
0,Non-Collision,61873,1,Rollover/Overturn,2,9999
1,Not Reported,61873,2,Motor Vehicle In-Transport ,2,1
2,4 Clock Point,61873,3,Motor Vehicle In-Transport ,1,2
3,Not Reported,61873,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61876,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61876,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61876,3,Cross Centerline,1,5555
3,Non-Harmful Event,61876,4,Ran Off Roadway - Left,1,5555
4,Non-Collision,61876,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61876,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61876,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61876,3,Cross Centerline,1,5555
3,Non-Harmful Event,61876,4,Ran Off Roadway - Left,1,5555
4,Non-Collision,61876,5,Rollover/Overturn,1,9999
0,Not Reported,61877,1,Pedestrian,1,9999
1,12 Clock Point,61877,2,Pedestrian,2,9999
0,Non-Harmful Event,61878,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61878,2,Curb,1,9999
2,Non-Collision,61878,3,Rollover/Overturn,1,9999
0,Non-Collision,61879,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61879,2,Ran Off Roadway - Right,1,5555
2,Not Reported,61879,3,Fence,1,9999
0,Non-Harmful Event,61880,1,Cross Centerline,1,5555
1,Non-Harmful Event,61880,2,Ran Off Roadway - Left,1,5555
2,Left,61880,3,Traffic Sign Support ,1,9999
3,Left,61880,4,"Post, Pole or Other Supports",1,9999
4,Right,61880,5,Tree (Standing Only),1,9999
5,Non-Collision,61880,6,Fire/Explosion,1,9999
0,Non-Harmful Event,61880,1,Cross Centerline,1,5555
1,Non-Harmful Event,61880,2,Ran Off Roadway - Left,1,5555
2,Left,61880,3,Traffic Sign Support ,1,9999
3,Left,61880,4,"Post, Pole or Other Supports",1,9999
4,Right,61880,5,Tree (Standing Only),1,9999
5,Non-Collision,61880,6,Fire/Explosion,1,9999
0,Non-Collision,61882,1,Rollover/Overturn,2,9999
1,Not Reported,61882,2,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61886,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61886,2,Guardrail Face,1,9999
2,Non-Collision,61886,3,Rollover/Overturn,1,9999
0,Non-Collision,61891,1,Rollover/Overturn,2,9999
1,Other Objects Set-In-Motion,61891,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,Non-Harmful Event,61895,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61895,2,Utility Pole/Light Support,1,9999
2,Non-Collision,61895,3,Fire/Explosion,1,9999
0,Not Reported,61896,1,Pedestrian,1,9999
0,Not Reported,61896,1,Pedestrian,1,9999
0,12 Clock Point,61898,1,Pedestrian,1,9999
0,Non-Harmful Event,61906,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61906,2,Tree (Standing Only),1,9999
2,12 Clock Point,61906,3,Other Fixed Object,1,9999
3,Non-Harmful Event,61906,4,Re-entering Roadway,1,5555
4,Non-Harmful Event,61906,5,Ran Off Roadway - Left,1,5555
5,12 Clock Point,61906,6,"Other Post, Other Pole or Other Supports",1,9999
6,Not Reported,61906,7,Other Fixed Object,1,9999
7,Not Reported,61906,8,Fence,1,9999
8,Not Reported,61906,9,Other Fixed Object,1,9999
9,Non-Harmful Event,61906,10,Vehicle Went Airborne,1,5555
10,Non-Collision,61906,11,Rollover/Overturn,1,9999
0,Non-Collision,61909,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61909,2,Cross Centerline,1,5555
2,Non-Harmful Event,61909,3,Ran Off Roadway - Left,1,5555
3,Not Reported,61909,4,Curb,1,9999
4,Not Reported,61909,5,Tree (Standing Only),1,9999
5,Other Objects Set-In-Motion,61909,6,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,61910,1,Pedestrian,1,9999
0,Non-Harmful Event,61912,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61912,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,61912,3,Motor Vehicle In-Transport ,1,3
3,Non-Collision,61912,4,Rollover/Overturn,2,9999
4,Non-Collision,61912,5,Rollover/Overturn,3,9999
5,Other Objects Set-In-Motion,61912,6,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
6,Other Objects Set-In-Motion,61912,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,1
7,Non-Collision,61912,8,Fire/Explosion,3,9999
0,12 Clock Point,61917,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61917,2,Ran Off Roadway - Right,1,5555
2,Not Reported,61917,3,Concrete Traffic Barrier,1,9999
3,Not Reported,61917,4,Bridge Pier or Support,1,9999
4,Non-Collision,61917,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61918,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,61918,2,Re-entering Roadway,1,5555
2,1 Clock Point,61918,3,Motor Vehicle In-Transport ,1,2
3,Non-Harmful Event,61918,4,Ran Off Roadway - Left,2,5555
4,Non-Collision,61918,5,Rollover/Overturn,2,9999
0,Non-Harmful Event,61920,1,Cross Centerline,1,5555
1,12 Clock Point,61920,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61922,1,Pedestrian,1,9999
0,12 Clock Point,61924,1,Pedestrian,1,9999
0,12 Clock Point,61924,1,Pedestrian,1,9999
0,Non-Harmful Event,61925,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61925,2,Curb,1,9999
2,Not Reported,61925,3,Traffic Sign Support ,1,9999
3,Non-Collision,61925,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,61926,1,Cross Centerline,1,5555
1,Non-Harmful Event,61926,2,Ran Off Roadway - Left,1,5555
2,Non-Collision,61926,3,Rollover/Overturn,1,9999
0,12 Clock Point,61927,1,Pedalcyclist,1,9999
0,12 Clock Point,61927,1,Pedalcyclist,1,9999
0,Non-Harmful Event,61928,1,Cross Centerline,1,5555
1,12 Clock Point,61928,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,61928,3,Fire/Explosion,2,9999
0,Non-Harmful Event,61929,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61929,2,Curb,1,9999
2,Left,61929,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61929,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61929,2,Curb,1,9999
2,Left,61929,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61929,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61929,2,Curb,1,9999
2,Left,61929,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61929,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61929,2,Curb,1,9999
2,Left,61929,3,Tree (Standing Only),1,9999
0,12 Clock Point,61932,1,Pedestrian,1,9999
0,12 Clock Point,61932,1,Pedestrian,1,9999
0,12 Clock Point,61933,1,Pedestrian,1,9999
0,Not Reported,61935,1,Pedestrian,1,9999
0,Non-Harmful Event,61943,1,Ran Off Roadway - Left,1,5555
1,Not Reported,61943,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,61943,3,Re-entering Roadway,1,5555
3,Left-Front Side,61943,4,Motor Vehicle In-Transport ,1,2
4,12 Clock Point,61943,5,Pedestrian,1,9999
0,Left-Front Side,61944,1,Pedestrian,1,9999
0,Non-Collision,61945,1,Rollover/Overturn,1,9999
